,id,content,sentiment
0,1,শুভ নববর্ষ ১৪২৯,positive
1,2,ইংরেজি গ্রামারের সম্পূর্ণ হ্যান্ডনোট। আশা করি উপকৃত হবেন,positive
2,3,আমি মাঠে খেলতে যাচ্ছি,positive
3,4,আমি ফুটবল খেলা পছন্দ করি,positive
4,5,বার্সালোনা আমার প্রিয় ফুটবল ক্লাব,positive
5,6,আমার প্রিয় শখ হল বই পড়া,positive
6,7,আপনার সাথে দেখা হয়ে ভাল লাগলো,positive
7,8,এটা পুরাতন। কিন্তু এটি এখন ও দেখতে ভাল,positive
8,9,বাকস্বাধীনতা টুইটারে ফিরে আসতে পারে,positive
9,10,তাকে দেখে মনে হচ্ছে সে হাসছে,positive
10,11,শুভ জন্মদিন সুস্থ থাক ভালো থাক,positive
11,12,হ্যাঁ খুব ভাল লাগে,positive
12,13,ভীষন ভালো লাগে আর নিজে রান্না করি আমি,positive
13,14,ফাটাফাটি এটি আমার খুব প্রিয় একটা মাছ!,positive
14,15,দীর্ঘ সময় পর এবার ঈদে নতুন গান নিয়ে আসছে জনপ্রিয় রকস্টার জেমস,positive
15,16,মনে আছে কোনও ফসিল্‌স এর কনসার্টে শেষবার ফিরে তাকানো?,positive
16,17,বাঙালির আবেগ ও বাঙালির ভালোবাসা উত্তম কুমার,positive
17,18,তোমাদেরকে খুব মিষ্টি দেখতে লাগছে,positive
18,19,আমার এ দেশ সব মানুষের,positive
19,20,গত বছরের পেঁয়াজের দেওয়া ২৫০ রানের টার্গেটে ব্যাট করছে এ বছরে সয়াবিন তেল!,positive
20,21,আমি এই সম্পর্কে একটি ভাল অনুভূতি পাচ্ছি তাই আমি এই সম্পর্কে উত্তেজিত,positive
21,22,আমি পুরোপুরি স্বাচ্ছন্দ্য বোধ করছি এবং আরামদায়ক বোধ করছি,positive
22,23,আমি আমার জগতে সম্মানিত বোধ করি,positive
23,24,আমি এখন খুব খুশি,positive
24,25,আমি তো অনুভব করি সে কি উদার,positive
25,26,নতুন সকাল নতুন দিন নতুন করে শুরু হোক সব,positive
26,27,আমার বই পড়া ভালো লেগেছে,positive
27,28,Jquery আমার নতুন সেরা বন্ধু,positive
28,29,আমি লেব্রন ভালোবাসি,positive
29,30,আমার আইফোনের জন্য অ্যাপস ডাউনলোড করছি! এত মজা :-) আক্ষরিক অর্থেই যেকোন কিছুর জন্য একটি অ্যাপ রয়েছে।,positive
30,31,"সুসংবাদ, এইমাত্র ভিসা অফিস থেকে কল এসেছে, সব ঠিক আছে.....কি স্বস্তি!",positive
31,32,আমি আজ আনন্দিত,positive
32,33,শীঘ্রই আমার বাবার সাথে স্টার ট্রেক দেখতে যাচ্ছি।,positive
