id,content,sentiment
1,শুভ নববর্ষ ১৪২৯,positive
2,ইংরেজি গ্রামারের সম্পূর্ণ হ্যান্ডনোট। আশা করি উপকৃত হবেন,positive
3,আমি মাঠে খেলতে যাচ্ছি,positive
4,আমি ফুটবল খেলা পছন্দ করি,positive
5,বার্সালোনা আমার প্রিয় ফুটবল ক্লাব,positive
6,আমার প্রিয় শখ হল বই পড়া,positive
7,আপনার সাথে দেখা হয়ে ভাল লাগলো,positive
8,এটা পুরাতন। কিন্তু এটি এখন ও দেখতে ভাল,positive
9,বাকস্বাধীনতা টুইটারে ফিরে আসতে পারে,positive
10,তাকে দেখে মনে হচ্ছে সে হাসছে,positive
11,শুভ জন্মদিন সুস্থ থাক ভালো থাক,positive
12,হ্যাঁ খুব ভাল লাগে,positive
13,ভীষন ভালো লাগে আর নিজে রান্না করি আমি,positive
14,ফাটাফাটি এটি আমার খুব প্রিয় একটা মাছ!,positive
15,দীর্ঘ সময় পর এবার ঈদে নতুন গান নিয়ে আসছে জনপ্রিয় রকস্টার জেমস,positive
16,মনে আছে কোনও ফসিল্‌স এর কনসার্টে শেষবার ফিরে তাকানো?,positive
17,বাঙালির আবেগ ও বাঙালির ভালোবাসা উত্তম কুমার,positive
18,তোমাদেরকে খুব মিষ্টি দেখতে লাগছে,positive
19,আমার এ দেশ সব মানুষের,positive
20,গত বছরের পেঁয়াজের দেওয়া ২৫০ রানের টার্গেটে ব্যাট করছে এ বছরে সয়াবিন তেল!,positive
21,আমি এই সম্পর্কে একটি ভাল অনুভূতি পাচ্ছি তাই আমি এই সম্পর্কে উত্তেজিত,positive
22,আমি পুরোপুরি স্বাচ্ছন্দ্য বোধ করছি এবং আরামদায়ক বোধ করছি,positive
23,আমি আমার জগতে সম্মানিত বোধ করি,positive
24,আমি এখন খুব খুশি,positive
25,আমি তো অনুভব করি সে কি উদার,positive
26,নতুন সকাল নতুন দিন নতুন করে শুরু হোক সব,positive
27,আমার বই পড়া ভালো লেগেছে,positive
28,Jquery আমার নতুন সেরা বন্ধু,positive
29,আমি লেব্রন ভালোবাসি,positive
